rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
220	tribe220	324231	7	0	7	unassigned	0	0.00	0.00	-
221	tribe221	324238	7	2	5	s1_30seqs	2	28.57	100.00	s1_30seqs:2
222	tribe222	327201	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
223	tribe223	328944	7	3	4	s1_30seqs	3	42.86	100.00	s1_30seqs:3
224	tribe224	333202	7	0	7	unassigned	0	0.00	0.00	-
225	tribe225	337312	7	7	0	s2_38seqs	7	100.00	100.00	s2_38seqs:7
226	tribe226	337342	7	7	0	s2_38seqs	7	100.00	100.00	s2_38seqs:7
227	tribe227	337357	7	3	4	s7g_172seqs	3	42.86	100.00	s7g_172seqs:3
228	tribe228	341005	7	7	0	s7g_172seqs	7	100.00	100.00	s7g_172seqs:7
229	tribe229	341522	7	5	2	s6_7seqs	3	42.86	60.00	s6_7seqs:3;s4_60seqs:2
230	tribe230	344152	7	0	7	unassigned	0	0.00	0.00	-
231	tribe231	353767	7	5	2	s4_60seqs	5	71.43	100.00	s4_60seqs:5
232	tribe232	355827	7	5	2	s5_5seqs	3	42.86	60.00	s5_5seqs:3;s6_7seqs:2
233	tribe233	359147	7	1	6	s4_60seqs	1	14.29	100.00	s4_60seqs:1
234	tribe234	359197	7	4	3	s4_60seqs	4	57.14	100.00	s4_60seqs:4
235	tribe235	360765	7	5	2	s3_43seqs	5	71.43	100.00	s3_43seqs:5
236	tribe236	363527	7	0	7	unassigned	0	0.00	0.00	-
237	tribe237	364747	7	2	5	s8_225seqs	2	28.57	100.00	s8_225seqs:2
238	tribe238	365486	7	1	6	s4_60seqs	1	14.29	100.00	s4_60seqs:1
239	tribe239	371418	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
240	tribe240	378222	7	7	0	s5_5seqs	7	100.00	100.00	s5_5seqs:7
241	tribe241	126	6	6	0	s4_60seqs	6	100.00	100.00	s4_60seqs:6
242	tribe242	11219	6	6	0	s9_20seqs	6	100.00	100.00	s9_20seqs:6
243	tribe243	11221	6	6	0	s9_20seqs	6	100.00	100.00	s9_20seqs:6
244	tribe244	52089	6	2	4	s6_7seqs	2	33.33	100.00	s6_7seqs:2
245	tribe245	58414	6	6	0	s7g_172seqs	6	100.00	100.00	s7g_172seqs:6
246	tribe246	58511	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
247	tribe247	58531	6	0	6	unassigned	0	0.00	0.00	-
248	tribe248	58544	6	0	6	unassigned	0	0.00	0.00	-
249	tribe249	58563	6	5	1	s9_20seqs	5	83.33	100.00	s9_20seqs:5
250	tribe250	76283	6	6	0	s7g_172seqs	6	100.00	100.00	s7g_172seqs:6
251	tribe251	76312	6	5	1	s6_7seqs	5	83.33	100.00	s6_7seqs:5
252	tribe252	87961	6	6	0	s7g_172seqs	6	100.00	100.00	s7g_172seqs:6
253	tribe253	87966	6	6	0	s2_38seqs	6	100.00	100.00	s2_38seqs:6
254	tribe254	98523	6	2	4	s4_60seqs	2	33.33	100.00	s4_60seqs:2
255	tribe255	101001	6	4	2	s1_30seqs	4	66.67	100.00	s1_30seqs:4
256	tribe256	113368	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
257	tribe257	115596	6	0	6	unassigned	0	0.00	0.00	-
